video_id,mirror_video_id,video_title,syllabus_id,subject,chapter,lecturer,nepali_date,time,notes
sQIIyErkuhE,cRsqjJTvcJc,ENGLISH || SAMITA MAM || 2082-12-30 || 7:00 PM,09.02.10-1,ENGLISH,PREPOSITION,SAMITA MAM,2082-12-30,7:00 PM,
bj0c6_X8MPs,8pVNxsvypZQ,|| NEPALI || DEVI SIR || 2082-12-29 || 8:00 PM ||,10.01.11-1,NEPALI,शब्द निर्माण,DEVI SIR,2082-12-29,8:00 PM,
SECF8DjrxUU,,ENGLISH || SAMITA MAM || 2082-12-29 || 7:00 PM,09.02.11-2,ENGLISH,CONJUCTION,SAMITA MAM,2082-12-29,7:00 PM,
Jg-BcNoHC5c,,|| NEPALI || DEVI SIR || 2082-12-27 || 8:00 PM ||,10.01.10,NEPALI,वाक्य,DEVI SIR,2082-12-27,8:00 PM,
zaxZ1DIL408,mmcBH8yroz0,GK FOR ALL || SABIN SIR || 2082-12-27 || 8:00 PM,01.02.05,GK FOR ALL,विश्वको भूगोल,SABIN SIR,2082-12-27,8:00 PM,
aS3klV43ZlI,bbchmgXKCUk,ENGLISH || SAMITA MAM || 2082-12-27 || 7:00 PM,09.02.11-1,ENGLISH,CONJUCTION,SAMITA MAM,2082-12-27,7:00 PM,
N4jOa5J3CYE,,GK FOR ALL || SABIN SIR || 2082-12-26 || 8:00 PM,01.02.04,GK FOR ALL,विश्वको भूगोल,SABIN SIR,2082-12-26,8:00 PM,
ir03p6qd4q0,,|| NEPALI || DEVI SIR || 2082-12-26 || 8:00 PM ||,10.01.09,NEPALI,वाच्य परिवर्तन,DEVI SIR,2082-12-26,8:00 PM,
vJ86c2Xk6is,,ENGLISH || SAMITA MAM || 2082-12-26 || 7:00 PM,09.01.01,ENGLISH,HOMONYM,SAMITA MAM,2082-12-26,7:00 PM,
zqS8xQ6OquY,,GK FOR ALL || SABIN SIR || 2082-12-25 || 8:00 PM,01.02.03,GK FOR ALL,विश्वको भूगोल,SABIN SIR,2082-12-25,8:00 PM,
4aR_j18rZwI,,ENGLISH || SAMITA MAM || 2082-12-25 || 7:00 PM,09.02.12-2,ENGLISH,Part Of Speech,SAMITA MAM,2082-12-25,7:00 PM,
v3emMrCIVqI,nBGnMT1x78k,|| NEPALI || DEVI SIR || 2082-12-24 || 8:00 PM ||,10.01.08,NEPALI,कारक,DEVI SIR,2082-12-24,8:00 PM,
OSBQvygeV2k,ogWix_PrfOo,ENGLISH || SAMITA MAM || 2082-12-24 || 7:00 PM,09.02.12-1,ENGLISH,Part of Speech,SAMITA MAM,2082-12-24,7:00 PM,
RC_UkeMo0JU,0UdiJTwBOxY,|| NEPALI || DEVI SIR || 2082-12-23 || 8:00 PM ||,10.01.07,NEPALI,काल / पक्ष,DEVI SIR,2082-12-23,8:00 PM,
Wh91thReeUc,EyCttwFMxMU,CONDITIONAL SENTENCE || ENGLISH || SAMITA MAM || 2082-12-23 || 7:00 PM ||,09.02.06-2,ENGLISH,CONDITIONAL SENTENCE,SAMITA MAM,2082-12-23,7:00 PM,
-QrfavOfAsI,,|| NEPALI || DEVI SIR || 2082-12-22 || 8:00 PM ||,10.01.06,NEPALI,"नामयोगी, संयोजक, विध्मयाधिबोधक",DEVI SIR,2082-12-22,8:00 PM,
pTojCzy_p10,,ENGLISH || SAMITA MAM || 2082-12-22 || 7:00 PM,09.02.06-1,ENGLISH,CONDITIONAL SENTENCE,SAMITA MAM,2082-12-22,7:00 PM,
