video_id,mirror_video_id,video_title,syllabus_id,subject,chapter,lecturer,nepali_date,time,notes
nCfM54f91J0,k2okeszAyqk,GK || ASHMAN SIR || 2083-02-05|| 6:30AM,02.02.03,GK FOR ALL,History of Nepal (नेपालमा शासन गरेका वंशहरु),ASHMAN SIR,2083-02-05,6:30AM,
EsanBzVsr2E,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-05 || 5:00AM,03.07.01,ACT,DIRECTIVE : 1,KRISHNA SIR,2083-02-05,5:00AM,
37FNHD3UGM0,n7N7nDeDNTw,GK || SABIN SIR || 2083-02-04 || 8:00PM,01.02.06,GK FOR ALL,Geography of Nepal: नदी नाला तथा ताल,SABIN SIR,2083-02-04,8:00PM,
ZUbeIP-gQVw,OjQgnr09z2Q,GK || SABIN SIR || 2083-02-03 || 8:00PM,01.02.05,GK FOR ALL,Geography of Nepal : नदी नाला,SABIN SIR,2083-02-03,8:00PM,
zuGQqIJRx7o,,GK || SABIN SIR || 2083-01-31 || 8:00PM,01.02.04,GK FOR ALL,Geography of Nepal : नदी नाला सम्बन्धी,SABIN SIR,2083-01-31,8:00PM,
xvKNRGsSvz0,,"नेपालको इतिहास, नेपालको ऐतिहासिक अवस्था  || GK || ASHMAN SIR || 2083-01-31 || 6:30 AM ||",02.02.01,GK FOR ALL,"नेपालको इतिहास, नेपालको ऐतिहासिक अवस्था",ASHMAN SIR,2083-01-31,6:30 AM,
P3hQ-K42jpg,aUZIHTrSMkk,"|| पहाडी प्रदेश, हिमाली प्रदेश र नदिनाला || GK || SABIN SIR || 2083-01-30 || 8:00PM||",01.02.03,GK FOR ALL,"पहाडी प्रदेश, हिमाली प्रदेश, र नदिनाला",SABIN SIR,2083-01-30,8:00PM,
mnXenRzomr4,,भाग ५ :- राज्यको संरचना र राज्य शक्तिको बाँडफाँड || GK || ASHMAN SIR || 2083-01-30 || 6:30 AM ||,04.01.04,GK FOR ALL,भाग ५ :- राज्यको संरचना र राज्य शक्तिको बाँडफाँड,ASHMAN SIR,2083-01-30,6:30 AM,
JUW3siHMzvo,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-01-30|| 5:00AM,03.04.03,ACT,"AML ACT, 2064",KRISHNA SIR,2083-01-30,5:00AM,
NvhejDn8fkc,oWoK7f7VnVM,GK || SABIN SIR || 2083-01-29 || 8 :00PM,01.02.02,GK FOR ALL,Geography of Nepal: Physiography Division of Nepal,SABIN SIR,2083-01-29,8 :00PM,
j5jQyMYoiX0,,GK || ASHMAN SIR  || 2083-01-29 || 6:30 AM,04.01.03,GK FOR ALL,भाग ३ :- मौलिक हक र कर्तव्यर्त,AASHMAN SIR,2083-01-29,6:30 AM,
bnh_SgcJbOA,bS3fWLFG7cY,GK FOR ALL || SABIN SIR || 2083-01-28 || 8:00PM,01.02.01,GK FOR ALL,Geography of Nepal,SABIN SIR,2083-01-28,8:00PM,
MJ6ieynw7h4,,GK || ASHMAN SIR || 2083-01-28 || 6:30 AM,04.01.02,GK FOR ALL,CONSTITUTION ( नेपालको संविधान भाग १-३),ASHMAN SIR,2083-01-28,6:30 AM,
gCXKtLeZVs0,,GK FOR ALL || SABIN SIR || 2083-01-27,02.01.07,GK FOR ALL,World History,SABIN SIR,2083-01-27,8:00PM,
l80GLJJGLMQ,,Pre-QQualyfing Exam GK Class || ASHMAN SIR || 2083||01| 27,04.01.01,GK FOR ALL,ORIENTATION,ASHMAN SIR,2083-01-27,6:30AM,
uaN8RlNXi88,,GK FOR ALL || SABIN SIR || 2083-01-25|| 8:00PM,02.01.06,GK FOR ALL,World History,SABIN SIR,2083-01-25,8:00PM,
Uf3zeH3Bezo,,GK FOR ALL || SABIN SIR || 2083-01-24 || 8:00PM,02.01.05,GK FOR ALL,World History,SABIN SIR,2083-01-24,8:00PM,
_a4oDm9tmO8,8Zw6zn5iLBc,ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || TILAK SIR || 2083-01-23 || 9:00PM,04.01.04,MACROECONOMICS,MEASUREMENT OF GDP : PRODUCTION METHOD,TILAK SIR,2083-01-23,9:00PM,
ZEhPhcxD1KY,,GK|| SABIN SIR || 2083-01-23|| 8:00PM,02.01.04,GK FOR ALL,World History,SABIN SIR,2083-01-23,8:00PM,
tcHJm95gc6Y,,| ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || TILAK SIR || 2083-01-22 || 9:00PM,04.01.03,MACROECONOMICS,GDP,TILAK SIR,2083-01-22,9:00PM,
